symbol
MU
NVDA
SNDK
TSLA
AMD
INTC
AAPL
MSFT
AMZN
GOOGL
META
AVGO
GOOG
MRVL
TSM
PLTR
ORCL
LITE
QCOM
AMAT
WDC
NBIS
STX
LLY
LRCX
NFLX
CRWV
BE
ASML
DELL
GEV
MSTR
CSCO
JPM
UNH
RKLB
APP
NOW
CAT
V
WMT
BRK.B
TXN
HOOD
XOM
GLW
CRM
KLAC
IREN
COST
GS
COHR
PANW
IBM
MA
VRT
AAOI
CRWD
ALAB
JNJ
BAC
ADI
ASTS
CVX
CRDO
GE
C
NOK
COIN
IONQ
HD
ANET
SMCI
APH
TER
INTU
BA
AAL
ABBV
PG
SOFI
UBER
ON
ADBE
KO
SNOW
CIEN
BKNG
WFC
MCD
MPWR
LIN
PEP
MS
NXPI
CRCL
MRK
ABT
VZ
DDOG
